state,route,link,busname,bustype,departing_time,duration,reaching_time,price,star_rating,seats_available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Meghana Travels,Non A/C Seater / Sleeper (2+1),00:15,05h 25m,05:40,523,4.3,36 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,LVP Travels,Non A/C Seater / Sleeper (2+1),23:52,06h 08m,06:00,650,4.3,28 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Meghana Travels,A/C Seater / Sleeper (2+1),00:15,05h 25m,05:40,475,4.3,35 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,LVP Travels,Non A/C Seater / Sleeper (2+1),23:20,06h 10m,05:30,550,4.3,23 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,SVR Tours and Travels,A/C Seater / Sleeper (2+1),02:00,04h 50m,06:50,590,2.4,19 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Sai Srinivasa Travels,A/C Seater / Sleeper (2+1),22:15,07h 30m,05:45,2000,4.0,40 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),02:02,04h 58m,07:00,990,3.9,33 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vikram Travels,A/C Seater / Sleeper (2+1),01:30,05h 36m,07:06,769,3.9,32 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Ramana Tours And Travels,A/C Seater / Sleeper (2+1),01:20,06h 00m,07:20,560,1.9,6 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Sri Tulasi Tours and Travels,A/C Seater / Sleeper (2+1),04:45,06h 15m,11:00,1149,2.0,5 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,SREE KARA TRAVELS,Non A/C Seater / Sleeper (2+1),23:59,06h 21m,06:20,444,3.8,18 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Kaveri Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),00:45,05h 15m,06:00,750,3.6,22 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,SRI SAI BALAJI TOURS AND TRAVELS,A/C Seater / Sleeper (2+1),01:15,06h 15m,07:30,599,3.6,8 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,SANDHYA TRAVELS,Bharat Benz A/C Sleeper (2+1),00:50,06h 27m,07:17,2900,3.5,36 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,DMR Travels,A/C Sleeper (2+1),23:59,06h 51m,06:50,730,3.5,30 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,SANDHYA TRAVELS,Bharat Benz A/C Sleeper (2+1),00:50,06h 27m,07:17,2900,3.5,36 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,SANDHYA TRAVELS,Bharat Benz A/C Sleeper (2+1),00:50,06h 27m,07:17,2900,3.5,36 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Srivastav Travels,A/C Sleeper (2+1),00:45,06h 22m,07:07,599,3.5,5 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Sri NVR Travels,Non A/C Seater / Sleeper (2+1),00:30,06h 15m,06:45,664,3.5,20 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,SANDHYA TRAVELS,Bharat Benz A/C Sleeper (2+1),00:20,06h 43m,07:03,3999,3.5,36 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,SANDHYA TRAVELS,Bharat Benz A/C Sleeper (2+1),00:50,06h 27m,07:17,2900,3.5,36 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,SANDHYA TRAVELS,Bharat Benz A/C Sleeper (2+1),00:40,06h 37m,07:17,3000,3.5,36 Seats available
